stationid,neighborhood,boro,zipcode,station name,latitude,longitude
489,Chelsea,Manhattan,10019,10 Ave & W 28 St,40.75066386,-74.00176802
161,Greenwich Village,Manhattan,10003,LaGuardia Pl & W 3 St,40.72917025,-73.99810231
173,Theater District,Manhattan,10019,Broadway & W 49 St,40.76068327096592,-73.9845272898674
4032,Bronx County,The Bronx,10455,E 155 St & Courtlandt Ave,40.82057,-73.917579
305,Midtown East,Manhattan,10022,E 58 St & 3 Ave,40.76095756,-73.96724467
490,Chelsea,Manhattan,10001,8 Ave & W 33 St,40.751551,-73.993934
533,Garment District,Manhattan,10019,Broadway & W 38 St,40.75299641,-73.98721619
3697,Upper West Side,Manhattan,10069,W 64 St & Thelonious Monk Circle,40.77515953434235,-73.98918695747852
311,Lower East Side,Manhattan,10002,Norfolk St & Broome St,40.7172274,-73.98802084
259,Financial District,Manhattan,10004,South St & Whitehall St,40.70122128,-74.01234218
3283,Upper West Side,Manhattan,10024,W 89 St & Columbus Ave,40.7882213,-73.97041561
426,Battery Park City,Manhattan,10282,West St & Chambers St,40.71754834,-74.01322069
3087,Williamsburg,Brooklyn,11211,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386
529,Theater District,Manhattan,10003,W 42 St & 8 Ave,40.7575699,-73.99098507
3494,East Harlem,Manhattan,10029,E 115 St & Lexington Ave,40.797911,-73.9423
4059,Washington Heights,Manhattan,10032,W 171 St & St. Nicholas Ave,40.842941,-73.938631
3452,Williamsburg,Brooklyn,11211,Bayard St & Leonard St,40.71915571696044,-73.94885390996933
3985,Bronx County,The Bronx,10456,E 160 St & Tinton Ave,40.820302,-73.903944
293,NoHo,Manhattan,10003,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049
3372,Upper East Side,Manhattan,10021,E 74 St & 1 Ave,40.7689738,-73.95482273
3422,Columbia Street Waterfront District,Brooklyn,11231,Columbia St & Degraw St,40.6859296,-74.00242364
3593,,Queens,11106,31 St & Broadway,40.761584,-73.925921
476,Kips Bay,Manhattan,10016,E 31 St & 3 Ave,40.74394314,-73.97966069
422,Hell's Kitchen,Manhattan,10018,W 59 St & 10 Ave,40.770513,-73.988038
363,Battery Park City,Manhattan,10280,West Thames St,40.70834698,-74.01713445
3305,Yorkville,Manhattan,10128,E 91 St & 2 Ave,40.78112229934166,-73.94965589046478
3497,East Harlem,Manhattan,10029,Pleasant Ave & E 116 St,40.7949879,-73.9333349
242,Fort Greene,Brooklyn,11238,Carlton Ave & Flushing Ave,40.697787,-73.973736
334,Chelsea,Manhattan,10011,W 20 St & 7 Ave,40.74238787,-73.99726235
3416,Park Slope,Brooklyn,11217,7 Ave & Park Pl,40.6776147,-73.97324283
260,Financial District,Manhattan,10004,Broad St & Bridge St,40.70365182,-74.01167797
3314,Upper West Side,Manhattan,10025,W 95 St & Broadway,40.7937704,-73.971888
3398,Carroll Gardens,Brooklyn,11231,Smith St & 9 St,40.6746957,-73.99785768
3355,Upper East Side,Manhattan,10021,E 66 St & Madison Ave,40.76800889305947,-73.96845281124115
3101,Greenpoint,Brooklyn,11211,N 12 St & Bedford Ave,40.72079821,-73.95484712
340,Two Bridges,Manhattan,10002,Madison St & Clinton St,40.71269042,-73.98776323
2000,DUMBO,Brooklyn,11201,Front St & Washington St,40.70255088,-73.98940236
473,Lower East Side,Manhattan,10012,Rivington St & Chrystie St,40.72110063,-73.9919254
3820,,Brooklyn,11221,Willoughby Ave & Myrtle Ave,40.69757,-73.93098
3345,East Harlem,Manhattan,10037,Madison Ave & E 99 St,40.78948541553215,-73.95242929458618
2006,,Manhattan,10107,Central Park S & 6 Ave,40.76590936,-73.97634151
477,Theater District,Manhattan,10036,W 41 St & 8 Ave,40.75640548,-73.9900262
3903,Bushwick,Brooklyn,11221,Jefferson Ave & Evergreen Ave,40.68989,-73.91458
252,Greenwich Village,Manhattan,10011,MacDougal St & Washington Sq,40.73226398,-73.99852205
3834,Bushwick,Brooklyn,11237,Irving Ave & Halsey St,40.69467,-73.90663
494,Chelsea,Manhattan,10017,W 26 St & 8 Ave,40.74734825,-73.99723551
3699,Hell's Kitchen,Manhattan,10019,W 50 St & 9 Ave,40.76360467795863,-73.98917958140373
3934,Harlem,Manhattan,10030,St Nicholas Ave & E 134 St,40.816234,-73.948222
478,Hell's Kitchen,Manhattan,10018,11 Ave & W 41 St,40.76030096,-73.99884222
3309,East Harlem,Manhattan,10129,E 97 St & 3 Ave,40.7859201,-73.94860294
462,Chelsea,Manhattan,10011,W 22 St & 10 Ave,40.74691959,-74.00451887
303,SoHo,Manhattan,10012,Mercer St & Spring St,40.72362738,-73.99949601
3628,Harlem,Manhattan,10026,Lenox Ave & W 117 St,40.8025566,-73.9490782
356,Lower East Side,Manhattan,10002,Bialystoker Pl & Delancey St,40.71622644,-73.98261206
3709,Chelsea,Manhattan,10011,W 15 St & 6 Ave,40.738046142482766,-73.99642959237099
447,Hell's Kitchen,Manhattan,10019,8 Ave & W 52 St,40.76370739,-73.9851615
4025,Harlem,Manhattan,10031,Edgecombe Ave & W 150 St,40.826881,-73.941427
3016,Williamsburg,Brooklyn,11249,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938
3562,Prospect Heights,Brooklyn,11238,Classon Ave & St Marks Ave,40.6765198,-73.9596082
3042,Bedford-Stuyvesant,Brooklyn,11233,Fulton St & Utica Ave,40.6794268,-73.9298911
3647,Sunnyside,Queens,11101,48 Ave & 30 Pl,40.74128309355993,-73.93725872039794
236,East Village,Manhattan,10003,St Marks Pl & 2 Ave,40.7284186,-73.98713956
3068,,Brooklyn,11211,Humboldt St & Varet St,40.7031724,-73.940636
417,Tribeca,Manhattan,10007,Barclay St & Church St,40.71291224,-74.01020234
3151,Upper East Side,Manhattan,10075,E 81 St & York Ave,40.7728384,-73.94989233
4044,Garment District,Manhattan,10018,8 Ave & W 38 St,40.75461,-73.99177
251,Little Italy,Manhattan,10012,Mott St & Prince St,40.72317958,-73.99480012
3160,,Manhattan,10023,Central Park West & W 76 St,40.77896784,-73.97374737
3777,Bushwick,Brooklyn,11221,Stockholm St & Wilson Ave,40.699304,-73.923044
3477,Sunset Park,Brooklyn,11232,39 St & 2 Ave,40.65539977447831,-74.01062786579132
419,Fort Greene,Brooklyn,11205,Carlton Ave & Park Ave,40.69580705,-73.97355569
120,Bedford-Stuyvesant,Brooklyn,11221,Lexington Ave & Classon Ave,40.68676793,-73.95928168
3080,Williamsburg,Brooklyn,11211,S 4 St & Rodney St,40.70934,-73.95608
3558,Prospect Heights,Brooklyn,11213,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438
499,Columbus Circle,Manhattan,10034,Broadway & W 60 St,40.76915505,-73.98191841
439,East Village,Manhattan,10009,E 4 St & 2 Ave,40.7262807,-73.98978041
372,Clinton Hill,Brooklyn,11225,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519
248,Tribeca,Manhattan,10013,Laight St & Hudson St,40.72185379,-74.00771779
3495,East Harlem,Manhattan,10029,E 114 St & 1 Ave,40.7945663,-73.9362541
324,Downtown Brooklyn,Brooklyn,11221,DeKalb Ave & Hudson Ave,40.689888,-73.981013
3547,Manhattanville,Manhattan,10115,Broadway & Moylan Pl,40.8143256,-73.9590255
392,Downtown Brooklyn,Brooklyn,11201,Jay St & Tech Pl,40.695065,-73.987167
3093,Williamsburg,Brooklyn,11249,N 6 St & Bedford Ave,40.71745169,-73.95850939
3147,Yorkville,Manhattan,10028,E 85 St & 3 Ave,40.77801203,-73.95407149
327,Battery Park City,Manhattan,10282,Vesey Pl & River Terrace,40.7153379,-74.01658354
3617,,Queens,11101,28 Ave & 35 St,40.7671,-73.9169858
3980,Hamilton Heights,Manhattan,10040,Amsterdam Ave & W 152 St,40.829523,-73.944279
3845,Bushwick,Brooklyn,11237,Irving Ave & Harman St,40.70108,-73.9179
3823,,Brooklyn,11206,Beaver St & Fayette St,40.70099,-73.93921
2003,Stuy Town,Manhattan,10009,1 Ave & E 18 St,40.73381219196632,-73.98054420948029
459,Chelsea,Manhattan,10011,W 20 St & 11 Ave,40.746745,-74.007756
3970,Bronx County,The Bronx,10455,Melrose Ave & E 154 St,40.819609,-73.916071
2008,Battery Park City,Manhattan,10280,Little West St & 1 Pl,40.70569254,-74.01677685
3994,East Harlem,Manhattan,10035,2 Ave & E 125 St,40.802554,-73.933509
3963,Bronx County,The Bronx,10451,Melrose Ave & E 150 St,40.816827,-73.917338
4071,Washington Heights,Manhattan,10032,Broadway & W 160 St,40.835775,-73.9434
237,East Village,Manhattan,10009,E 11 St & 2 Ave,40.73047309,-73.98672378
3408,Cobble Hill Historic District,Brooklyn,11201,Congress St & Clinton St,40.6881529,-73.99520919
3467,SoHo,Manhattan,10012,W Broadway & Spring St,40.72494672359416,-74.00165855884552
458,Chelsea,Manhattan,10001,11 Ave & W 27 St,40.751396,-74.005226
3096,Greenpoint,Brooklyn,11211,Union Ave & N 12 St,40.71924,-73.95242
3680,Midtown East,Manhattan,10017,E 43 St & 5 Ave,40.754120810779256,-73.98025184869766
450,Hell's Kitchen,Manhattan,10019,W 49 St & 8 Ave,40.76227205,-73.98788205
496,Union Square,Manhattan,10003,E 16 St & 5 Ave,40.73726186,-73.99238967
3156,Lenox Hill,Manhattan,10021,E 72 St & York Ave,40.76663814,-73.95348296
3505,East Harlem,Manhattan,10035,Lexington Ave & E 127 St,40.805726,-73.936322
2002,Greenpoint,Brooklyn,11211,Wythe Ave & Metropolitan Ave,40.716887,-73.963198
3300,,Brooklyn,11215,Prospect Park West & 8 St,40.66514681533792,-73.97637605667114
4123,Upper West Side,Manhattan,10025,Central Park W & W 103 St,40.79603684159984,-73.96158903853575
3765,,Brooklyn,11211,Bushwick Ave & Stagg St,40.709897,-73.94008
504,Stuy Town,Manhattan,10009,1 Ave & E 16 St,40.73221853,-73.98165557
4056,Washington Heights,Manhattan,10032,Broadway & W 165 St,40.839137,-73.941409
492,Garment District,Manhattan,10018,W 33 St & 7 Ave,40.75019995,-73.99093085
3440,Downtown Brooklyn,Brooklyn,11207,Fulton St & Adams St,40.69241829257847,-73.98949474096298
513,Midtown,Manhattan,10019,W 56 St & 10 Ave,40.768254,-73.988639
505,Herald Square,Manhattan,10019,6 Ave & W 33 St,40.74901271,-73.98848395
3141,Lenox Hill,Manhattan,10029,1 Ave & E 68 St,40.76500525,-73.95818491
319,Financial District,Manhattan,10038,Fulton St & Broadway,40.711066,-74.009447
3776,Bushwick,Brooklyn,11221,Central Ave & Starr Street,40.700003,-73.92834
3472,Chelsea,Manhattan,10001,W 15 St & 10 Ave,40.74275382865903,-74.00747358798981
3423,Park Slope,Brooklyn,11215,West Drive & Prospect Park West,40.6610633719006,-73.97945255041122
3870,,Brooklyn,11206,Melrose St & Broadway,40.697481,-73.935877
3898,Lenox Hill,Manhattan,10065,E 63 St & 3 Ave,40.763954,-73.9646
3057,,Brooklyn,11221,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416
387,Civic Center,Manhattan,10000,Centre St & Chambers St,40.71273266,-74.0046073
3841,Bushwick,Brooklyn,11221,Menahan St & Central Ave,40.69543,-73.9196
3329,Cobble Hill Historic District,Brooklyn,11231,Degraw St & Smith St,40.6829151,-73.99318208
530,Hell's Kitchen,Manhattan,10018,11 Ave & W 59 St,40.77149671054441,-73.99046033620834
3534,Harlem,Manhattan,10026,Frederick Douglass Blvd & W 117 St,40.805159,-73.954692
376,Financial District,Manhattan,10038,John St & William St,40.70862144,-74.00722156
3552,Morningside Heights,Manhattan,10025,W 113 St & Broadway,40.805973,-73.964928
3981,Harlem,Manhattan,10032,Harlem River Dr & W 155 St,40.830476,-73.939929
3781,Bushwick,Brooklyn,11237,Greene Av & Myrtle Av,40.698568,-73.918877
342,Lower East Side,Manhattan,10002,Columbia St & Rivington St,40.71739973,-73.98016555
151,Little Italy,Manhattan,10012,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504
3328,Manhattan Valley,Manhattan,10025,W 100 St & Manhattan Ave,40.795,-73.9645
346,West Village,Manhattan,10014,Bank St & Hudson St,40.73652889,-74.00618026
472,Midtown South,Manhattan,10016,E 32 St & Park Ave,40.7457121,-73.98194829
3157,Yorkville,Manhattan,10028,East End Ave & E 86 St,40.77518615,-73.94446054
3158,Lincoln Square,Manhattan,10023,W 63 St & Broadway,40.77163851,-73.98261428
3041,Bedford-Stuyvesant,Brooklyn,11213,Kingston Ave & Herkimer St,40.67890679,-73.94142771
3135,Upper East Side,Manhattan,10021,E 75 St & 3 Ave,40.77112927,-73.95772297
3318,Lenox Hill,Manhattan,10128,2 Ave & E 96 St,40.7839636,-73.9471673
3049,Clinton Hill,Brooklyn,11238,Cambridge Pl & Gates Ave,40.68488,-73.96304
4053,Washington Heights,Manhattan,10032,W 163 St & Edgecombe Ave,40.835798,-73.937496
3323,Manhattan Valley,Manhattan,10025,W 106 St & Central Park West,40.7981856,-73.9605909006
3521,Harlem,Manhattan,10037,Lenox Ave & W 111 St,40.7987859,-73.9523
3641,Flatiron District,Manhattan,10010,Broadway & W 25 St,40.74286877312112,-73.98918628692627
3142,Yorkville,Manhattan,10065,1 Ave & E 62 St,40.7612274,-73.96094022
4010,Sugar Hill,Manhattan,10040,W 145 St & Amsterdam Ave,40.825244,-73.947257
3453,Williamsburg,Brooklyn,11211,Devoe St & Lorimer St,40.71335226222875,-73.9491033554077
3255,Garment District,Manhattan,10018,8 Ave & W 31 St,40.7505853470215,-73.9946848154068
270,Fort Greene,Brooklyn,11238,Adelphi St & Myrtle Ave,40.69308257,-73.97178913
517,Murray Hill,Manhattan,10037,Pershing Square South,40.751581,-73.97791
326,East Village,Manhattan,10009,E 11 St & 1 Ave,40.72953837,-73.98426726
3610,Astoria,Queens,11106,Vernon Blvd & 30 Rd,40.770845,-73.934171
328,Tribeca,Manhattan,10005,Watts St & Greenwich St,40.72405549,-74.00965965
3564,,Queens,11106,21 St & 36 Ave,40.7601853,-73.9362726
3998,Harlem,Manhattan,10037,W 135 St & Lenox Terrace Pl,40.813619,-73.939336
3769,,Brooklyn,11206,White St & Johnson Ave,40.707174,-73.93581
3285,Upper West Side,Manhattan,10024,W 87 St & Amsterdam Ave,40.78839,-73.9747
532,Williamsburg,Brooklyn,11249,S 5 Pl & S 5 St,40.710451,-73.960876
468,Midtown,Manhattan,10107,Broadway & W 56 St,40.7652654,-73.98192338
364,Clinton Hill,Brooklyn,11221,Lafayette Ave & Classon Ave,40.68900443,-73.96023854
436,,Brooklyn,11233,Hancock St & Bedford Ave,40.68216564,-73.95399026
3117,Greenpoint Landing,Brooklyn,11222,Franklin St & Dupont St,40.73564,-73.95866
212,Chelsea,Manhattan,10011,W 16 St & The High Line,40.74334935,-74.00681753
3351,East Harlem,Manhattan,10029,E 102 St & 1 Ave,40.7869946,-73.94164802
4065,Washington Heights,Manhattan,10033,Wadsworth Ave & W 179 St,40.848467,-73.936064
368,West Village,Manhattan,10014,Carmine St & 6 Ave,40.73038599,-74.00214988
2021,Hell's Kitchen,Manhattan,10036,W 45 St & 8 Ave,40.75929124,-73.98859651
3082,Williamsburg,Brooklyn,11211,Hope St & Union Ave,40.71167351,-73.95141312
3821,Bushwick,Brooklyn,11206,Evergreen Ave & Noll St,40.70106,-73.93318
3928,Harlem,Manhattan,10027,Adam Clayton Powell Blvd & W 132 St,40.813539,-73.94521
3356,Lincoln Square,Manhattan,10023,Amsterdam Ave & W 66 St,40.7746671,-73.98470567
3656,Alphabet City,Manhattan,10009,E 2 St & Avenue A,40.72307749068673,-73.98583620786667
3583,Prospect Heights,Brooklyn,11238,Eastern Pkwy & Washington Ave,40.6716493,-73.9631145
519,Murray Hill,Manhattan,10037,Pershing Square North,40.751873,-73.977706
4004,Harlem,Manhattan,10030,Edgecombe Ave & W 141 St,40.820681,-73.945144
526,Midtown South,Manhattan,10016,E 33 St & 5 Ave,40.74765947,-73.98490707
4034,Hamilton Heights,Manhattan,10031,Hamilton Pl & W 138 St,40.821728,-73.952761
349,Lower East Side,Manhattan,10002,Rivington St & Ridge St,40.71850211,-73.98329859
432,East Village,Manhattan,10009,E 7 St & Avenue A,40.72621788,-73.98379855
487,Stuy Town,Manhattan,10009,E 20 St & FDR Drive,40.73314259,-73.97573881
3130,,Queens,11101,21 St & Queens Plaza North,40.75325964,-73.94335788
261,,Brooklyn,11201,Johnson St & Gold St,40.69474881,-73.98362464
3957,Bronx County,The Bronx,10454,E 144 St & Brook Ave,40.811675,-73.917037
3609,Astoria,Queens,11369,Vernon Blvd & 31 Ave,40.7692475,-73.9354504
415,Financial District,Manhattan,10038,Pearl St & Hanover Square,40.7047177,-74.00926027
3354,,Brooklyn,11215,3 St & Prospect Park West,40.668132,-73.97363831
174,Kips Bay,Manhattan,10010,E 25 St & 1 Ave,40.7381765,-73.97738662
3094,Greenpoint,Brooklyn,11211,Graham Ave & Withers St,40.7169811,-73.94485918
3233,Midtown East,Manhattan,10017,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799
3387,East Harlem,Manhattan,10037,E 106 St & Madison Ave,40.7934337,-73.94945003
3420,Gowanus,Brooklyn,11217,Douglass St & 3 Ave,40.6802133,-73.98432695
285,East Village,Manhattan,10003,Broadway & E 14 St,40.73454567,-73.99074142
497,Union Square,Manhattan,10010,E 17 St & Broadway,40.73704984,-73.99009296
116,Chelsea,Manhattan,10011,W 17 St & 8 Ave,40.74177603,-74.00149746
3486,Boerum Hill,Brooklyn,11201,Schermerhorn St & Bond St,40.688417427540834,-73.98451656103134
265,Lower East Side,Manhattan,10012,Stanton St & Chrystie St,40.72229346,-73.99147535
3760,,Brooklyn,11237,Willoughby Ave & Wyckoff Ave,40.705614,-73.92153
307,Lower East Side,Manhattan,10002,Canal St & Rutgers St,40.71427487,-73.98990025
268,Little Italy,Manhattan,10013,Howard St & Centre St,40.71910537,-73.99973337
486,Midtown South,Manhattan,10019,Broadway & W 29 St,40.7462009,-73.98855723
467,Park Slope,Brooklyn,11213,Dean St & 4 Ave,40.68312489,-73.97895137
3890,Bushwick,Brooklyn,11221,Grove St & Broadway,40.69047,-73.923511
4027,Sugar Hill,Manhattan,10040,St. Nicholas Ave & W 155 St,40.830663,-73.941323
3997,Harlem,Manhattan,10037,5 Av & W 139 St,40.815484,-73.935856
3847,Bushwick,Brooklyn,11221,Cedar St & Evergreen Ave,40.69671,-73.92807
3296,Carnegie Hill,Manhattan,10128,E 93 St & 2 Ave,40.782454175279874,-73.9489196240902
4060,Washington Heights,Manhattan,10032,Amsterdam Ave & W 172 St,40.842173,-73.935111
335,Greenwich Village,Manhattan,10003,Washington Pl & Broadway,40.72903917,-73.99404649
4035,Sugar Hill,Manhattan,10031,Broadway & W 153 St,40.831327,-73.946665
3967,Hamilton Heights,Manhattan,10031,W 146 St & Broadway,40.826969,-73.949738
3648,,Brooklyn,11237,Flushing Ave & Vanderbilt Ave,40.69795031569544,-73.97077560424805
3708,Greenwich Village,Manhattan,10011,W 13 St & 5 Ave,40.735445,-73.99431
3134,Lenox Hill,Manhattan,10065,3 Ave & E 62 St,40.76312584,-73.96526895
4000,Harlem,Manhattan,10037,Lenox Ave & W 144 St,40.819783,-73.936521
312,Lower East Side,Manhattan,10002,Allen St & Stanton St,40.722055,-73.989111
402,Flatiron District,Manhattan,10010,Broadway & E 22 St,40.7403432,-73.98955109
355,Chinatown,Manhattan,10013,Bayard St & Baxter St,40.71602118,-73.99974372
2017,Tudor City,Manhattan,10017,E 43 St & 2 Ave,40.75022392,-73.97121414
3689,Manhattan Valley,Manhattan,10025,W 104 St & Amsterdam Ave,40.79904139288298,-73.96649479866028
3900,,Brooklyn,11222,Morgan Ave & Lombardy St,40.72226,-73.93889
3746,Hudson Square,Manhattan,10014,6 Ave & Broome St,40.724308321602166,-74.00473035871983
4011,Bronx County,The Bronx,10455,Westchester Ave & Jackson Ave,40.816124,-73.908116
3165,Upper West Side,Manhattan,10023,Central Park West & W 72 St,40.77579376683666,-73.9762057363987
244,Clinton Hill,Brooklyn,11205,Willoughby Ave & Hall St,40.69196035,-73.96536851
369,Greenwich Village,Manhattan,10011,Washington Pl & 6 Ave,40.73224119,-74.00026394
445,East Village,Manhattan,10009,E 10 St & Avenue A,40.72740794,-73.98142006
3571,,Brooklyn,11216,Bedford Ave & Bergen St,40.676368,-73.952918
531,Lower East Side,Manhattan,10002,Forsyth St & Broome St,40.71893904,-73.99266288
3170,Upper West Side,Manhattan,10024,W 84 St & Columbus Ave,40.78499979,-73.97283406
245,Fort Greene,Brooklyn,11237,Myrtle Ave & St Edwards St,40.69327018,-73.97703874
146,Tribeca,Manhattan,10014,Hudson St & Reade St,40.71625008,-74.0091059
3711,East Village,Manhattan,10009,E 13 St & Avenue A,40.72966729392978,-73.98067966103554
3050,Bedford-Stuyvesant,Brooklyn,11221,Putnam Ave & Throop Ave,40.6851532,-73.94111
3463,Union Square,Manhattan,10003,E 16 St & Irving Pl,40.735367055605394,-73.98797392845154
3964,Bronx County,The Bronx,10455,Brook Ave & E 148 St,40.814383,-73.915368
4058,Midtown East,Manhattan,10022,Madison Av & E 51 St,40.75863,-73.97513
3771,,Brooklyn,11206,McKibbin St & Bogart St,40.706237,-73.933871
3058,,Brooklyn,11221,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428
3725,Lenox Hill,Manhattan,10035,2 Ave & E 72 St,40.7687620293096,-73.95840793848038
4096,Bronx County,The Bronx,10456,Grand Concourse & E 167 St,40.834263,-73.917641
3613,Long Island City,Queens,11109,Center Blvd & 48 Ave,40.745038,-73.957539
399,Clinton Hill,Brooklyn,11238,Lafayette Ave & St James Pl,40.68851534,-73.9647628
3325,Carnegie Hill,Manhattan,10128,E 95 St & 3 Ave,40.7849032,-73.950503
3500,East Harlem,Manhattan,10029,E 115 St & Madison Ave,40.7989445,-73.944846
3575,,Queens,11106,Crescent St & 34 Ave,40.76108,-73.930562
3775,,Brooklyn,11237,Suydam St & Knickerbocker Ave,40.702013,-73.923769
3724,Midtown,Manhattan,10019,7 Ave & Central Park South,40.7667405590595,-73.9790689945221
3518,Harlem,Manhattan,10027,Lenox Ave & W 126 St,40.808442,-73.9452087
3531,Harlem,Manhattan,10027,Frederick Douglass Blvd & W 129 St,40.8125511,-73.9492286
479,Hell's Kitchen,Manhattan,10003,9 Ave & W 45 St,40.76019252,-73.9912551
3496,Yorkville,Manhattan,10029,1 Ave & E 110 St,40.7923272,-73.9383
3856,,Brooklyn,11222,Kingsland Ave & Nassau Ave,40.72577,-73.94173
3286,Yorkville,Manhattan,10128,E 89 St & 3 Ave,40.7806284,-73.9521667
167,Murray Hill,Manhattan,10016,E 39 St & 3 Ave,40.7489006,-73.97604882
3302,Manhattan Valley,Manhattan,10025,Columbus Ave & W 103 St,40.7969347,-73.9643412291
3553,Harlem,Manhattan,10026,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145
347,Hudson Square,Manhattan,10014,Greenwich St & W Houston St,40.728846,-74.008591
3815,Turtle Bay,Manhattan,10022,E 51 St & 2 Ave,40.755293,-73.967641
3056,,Brooklyn,11216,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465
3064,,Brooklyn,11237,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926
3866,,Brooklyn,11207,Wilson Ave & Moffat St,40.68906,-73.90506
539,Greenpoint,Brooklyn,11249,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116
3580,Prospect Heights,Brooklyn,11238,St Johns Pl & Washington Ave,40.6737236,-73.9631611
3349,Park Slope,Brooklyn,11217,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984
3693,Greenpoint,Brooklyn,11249,N 11 St & Kent Ave,40.72248188638219,-73.95921930670738
3410,Boerum Hill Historic District,Brooklyn,11217,Dean St & Hoyt St,40.6864442,-73.98759104
4047,Washington Heights,Manhattan,10032,Amsterdam Ave & W 156 St,40.832081,-73.942386
3429,Fort Greene,Brooklyn,11217,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863
